saddr,daddr,proto,src_mac,dst_mac,sport,dport,flag,N_IN_Conn_P_SrcIP,N_IN_Conn_P_DstIP,length,time,datarate,dns,scan
210.117.181.96,218.4.247.207,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,73.34.156.204,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,76.95.95.7,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,143.125.51.62,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,65.23.138.121,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,133.250.41.75,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,171.53.31.114,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,213.188.44.1,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,67.93.244.225,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,213.137.191.44,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,182.14.87.105,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,189.147.160.3,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,195.46.79.217,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,123.81.186.11,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,4.125.68.225,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,34.139.145.52,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,207.78.94.92,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,90.197.0.192,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,182.166.207.117,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,109.200.96.79,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,160.245.84.209,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,202.169.108.118,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,34.173.189.233,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,47.11.235.244,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,78.255.151.250,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,48.113.5.103,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,50.91.165.246,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,144.8.213.94,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,25.41.92.100,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,64.134.12.1,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,171.186.114.216,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,136.88.228.22,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,108.6.207.144,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,99.209.196.200,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,4.90.65.83,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,96.106.218.213,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,42.206.255.165,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,114.153.197.104,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,202.246.199.43,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,70.254.71.82,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,168.108.148.161,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,73.32.69.141,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,183.16.39.170,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,89.7.39.133,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,105.148.92.47,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,61.174.51.128,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,25.147.147.59,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,50.152.95.195,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,112.22.200.38,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,85.255.71.227,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,175.157.8.163,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,71.241.247.144,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,17.158.201.25,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,2323,2,8873,1,40,1,40.0,0,0
210.117.181.96,125.159.103.202,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,37.242.110.61,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,125.0.199.135,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
210.117.181.96,191.105.143.179,0,70:5d:cc:57:c7:b5,bc:e7:12:22:12:67,22733,23,2,8873,1,40,1,40.0,0,0
